Candidate,Campaign Committee,Jurisdiction,Office,District,Election Year,Party,COOSA,Total Contributions,Total Expenditures
"DONOVAN, DONALD RICHARD",COMMITTEE TO ELECT DICK DONOVAN DA,State,District Attorney,Paulding,2022,Republican,No,51629.49,,
"Douglas, Demetrius",,State,State Representative,78,2022,Democrat,No,129428.93,79384.53,
"Doupe, William Patrick",Committee to Elect Bill Doupe,State,District Attorney,Toombs,2024,Democrat,Yes,4768.1,4050.43,
"Dove, Erica ","Erica Dove for State Court, Inc.",Gwinnett County,State Court Judge,0,2022,Non-Partisan,No,,,
"DRAKE, SHEILA CARSON",,Greene,Board of Education,1,2022,Democrat,Yes,,,
"Drane, James E., III",Friends of James Drane,Cherokee County,Chief Magistrate Judge,,2022,Republican,No,,,
"Draper, Saira ",Friends of Saira Draper,State,State Representative,90,2024,Democrat,Yes,502766.09,259971.72,
"Drayton, Brunessa ","Committee to Elect Brunessa Drayton, Inc.",Cobb County,Clerk of Superior Court,,2024,Democrat,No,,,
"Drenner, Karla Lea",,State,State Representative,85,2022,Democrat,Yes,117464.74,62619.6,
"Dreyer, David",David Dreyer Campaign Committee,State,State Representative,59,2022,Democrat,No,49685.45,36924.76,
"Driver, Courtney","Committee to Elect Courtney Driver, Inc.",State,State Representative,146,2022,Democrat,No,3070.22,,
"Druitt, Donald Lee, Sr.",,State,State Representative,142,2024,Democrat,No,,,
"Dubignon, Pingke ",Committee to Elect Pingke Dubignon,State,State Senator,16,2022,Democrat,Yes,8585.74,6207.55,
"Dubnik, Matthew Scott",Committee To Elect Matt Dubnik,State,State Representative,29,2024,Republican,Yes,670200.03,208129.82,
"Dudley, Mona L",,Stewart County,Clerk of Superior Court,,2022,Democrat,No,,,
"Dugan, Michael Brian",,State,State Senator,30,2024,Republican,Yes,159180,278761.45,
"Dugan, Randye",,State,State Representative,24,2024,Democrat,No,9599,3584.25,
"Duggal, Om ",Om Duggal for Georgia,State,State Representative,99,2024,Democrat,No,304735.09,267730.23,
"Dukes, Winfred ",Dukes for Agriculture Commissioner,,Commissioner of Agriculture,,2022,Democrat,Yes,139821,131317.3,
"Dukes, Winfred",,State,State Representative,154,2022,Democrat,No,40585.34,29694,
"Dunahoo, Emory West",Committee to Elect Dunahoo For State House,State,State Representative,31,2024,Republican,Yes,575805.09,114734.52,
"Dunaway, Eric Kernard",Committee to Elect Eric Dunaway,State,Superior Court Judge,Atlanta Judicial Circuit: Dunaway,2024,Non-Partisan,Yes,43140.06,1900.5,
"Duncan, Angela Denise",Committee to Elect Judge Angela D. Duncan,State,Superior Court Judge,Gwinnett Judicial Circuit: Duncan,2022,Unspecified,Yes,172166.28,109406.72,
"Duncan, Geoffrey Lynn, Jr.",Duncan For Georgia,,Lieutenant Governor,,2022,Republican,Yes,,48016.85,
"Duncan, Robert Gene",Committee to elect Bob Duncan,Glynn County,County Commissioner,2,2024,Republican,No,,,
"Duncan, Robert Gene",Duncan for Georgia 2022,State,State Representative,179,2022,Republican,No,111775,68569.52,
"Dunlap, Donald Kelder","Dunlap For Henry, Inc.",Henry County,County Commissioner,3,2022,Republican,No,,,
"Dunn, James ",James Dunn for State Court Judge Committee,Forsyth County,State Court Judge,at-Large,2022,Non-Partisan,No,,,
"Durand, Patricia H","Patty for Ga PSC, Inc.",State,Public Service Commissioner,2,2022,Democrat,No,238857.77,227276.9,
"Durden, John Thomas, Jr.",Campaign to Re-elect Tom Durden,State,District Attorney,Atlantic,2022,Democrat,No,,,
"Durrance, Earl W., Jr.",Durrance for Sheriff,Lanier County,Sheriff,,2024,Republican,No,,,
"Durrance, Earl Winston, Jr.",,Lanier County,Sheriff,,2024,Republican,No,,,
"Dyer, Dee",,Paulding County,County Commissioner,4,2024,Other,No,,,
"Dyer, Sarita",Committee to Elect Sarita Dyer,Henry County,County Commissioner,3,2022,Democrat,No,,,
"Dyer, Shawn Tyson",Friends of Shawn Dyer,Union County,Sheriff,,2024,Republican,No,,,
"Eady, Freddy",,Fulton County,State Court Judge,0,2022,Other,No,,,
"Earnest, Thomas Craig",Committee to Elect T. Craig Earnest,State,Superior Court Judge,Pataula Judicial Circuit,2024,Non-Partisan,No,,,
"Eason, Gary",Eason for Sheriff,Liberty County,Sheriff,,2024,Republican,No,,,
"Eaves, John Henry",John Eaves for Georgia,,Secretary of State,,2022,Democrat,Yes,199151.49,199151.49,
"Echols, Jared Drew",Friends of Drew Echols,State,State Senator,49,2024,Republican,Yes,292525,44677.15,
"Echols, Shelly Danielle",Friends of Shelly Echols,State,State Senator,49,2024,Republican,Yes,282020,239638.82,
"Echols, Ted Norman",Ted Echols for Judge,Henry County,State Court Judge,0,2022,Non-Partisan,No,,,
"Eckhardt, Pamela B",,State,State Representative,21,2024,Republican,No,6745.34,7203.56,
"Edgy, William Thomas, III",Committee to Elect William Thomas Edgy,Glynn County,Waterboard,at-Large,2024,Non-Partisan,No,,,
"Edwards, Annette ",,Henry,Board of Education,5,2022,Other,No,,,
"Edwards, Belinda E.",Committee to Elect Judge Belinda E. Edwards,State,Superior Court Judge,Atlanta Judicial Circuit: Edwards,2024,Non-Partisan,Yes,30933.47,6657.18,
"Edwards, Eric Z.",Committee to Elect Eric Edwards,State,District Attorney,Houston,2024,Republican,Yes,20034.25,16397.6,
"Edwards, Gregory Wayne, Sr.",,State,District Attorney,Dougherty,2024,Democrat,No,11975,11047.24,
"Edwards, Montenia",Campaign of Montenia Edwards,State,State Representative,64,2022,Democrat,No,49379.42,48633.06,
"Edwards, Russell",Russell for PSC,State,Public Service Commissioner,2,2022,Democrat,No,,,
"Edwards, Shelia ",Committee to Elect Shelia Edwards Public Service Commissioner,State,Public Service Commissioner,3,2022,Democrat,Yes,41476.67,41425.89,
"Effiong Lewis, Nkoyo","Friends of Nkoyo Effiong Lewis, Inc.",State,State Senator,38,2024,Democrat,Yes,28868.12,13594.41,
"Efstration, Charles Paul","Efstration for House, Inc.",State,State Representative,104,2024,Republican,Yes,674727.92,474096.1,
"Egler, Mary",,State,State Representative,152,2022,Democrat,No,,,
"Eguh-Okafor, Consolator",,State,State Representative,71,2022,Democrat,No,,,
"Ehrhart, Ginny Wahlbom",Friends of Ginny Ehrhart,State,State Representative,36,2024,Republican,Yes,109593.9,28336.06,
"Elam, Cortney",,Lincoln,Board of Education,4,2022,Non-Partisan,No,,,
"Ellerbe, Kelly Lee",Elect Kelly Amanda Lee Ellerbe,State,Superior Court Judge,Atlanta Judicial Circuit: Ellerbe,2022,Non-Partisan,Yes,197953.03,34917.68,
"Ellington, John J","Friends of John Ellington, Inc",,Justice of the Supreme Court,,2024,Non-Partisan,Yes,457839.53,72634.36,
"Ellis, Chester",,Chatham County,County Commission Chair,,2024,Other,No,,,
"Emerson, David ",,State,Superior Court Judge,Douglas Judicial Circuit: Warren,2022,Non-Partisan,No,600,600,
"Enderlin, Jenny Leigh",Enderlin for Georgia,State,State Senator,6,2024,Democrat,No,1120,945.46,
"England, Terry Lamar",The Committee to Elect Terry England,State,State Representative,116,2022,Republican,Yes,173.69,111791.57,
"Erwin, Chris ",Chris Erwin for Georgia,State,State Representative,32,2024,Republican,Yes,114510,101695.23,
"Esteves, Jason","Committee to Elect Jason Esteves, Inc.",State,State Senator,35,2022,Democrat,Yes,418630.72,477048.2,
"Estrada, Juan Carlos",,State,State Representative,109,2024,Democrat,No,,,
"Evans, Becky ",Friends of Becky Evans Inc,State,State Representative,89,2022,Democrat,Yes,191351.04,183875.79,
"Evans, Stacey Godfrey",Friends of Stacey Evans,State,State Representative,57,2024,Democrat,Yes,197541.75,59064.27,
"Evans, Terry Jerome",Committee to Elect Terry Evans,Clayton County,Sheriff,,2024,Democrat,No,,,
"Evenezer-Gold, Jacquelyn Diane",,Gwinnett,Board of Education,5,2024,Non-Partisan,No,,,
"Fabian, Dwayne ",Fabian for Clayton Co Sheriff,Clayton County,Sheriff,,2024,Democrat,No,,,
"Fachini, Denise Davis",,State,Superior Court Judge,Cordele Judicial Circuit: Fachini,2024,Non-Partisan,No,105,,
"Faircloth, Robert Brandon",,State,Superior Court Judge,Dublin Judicial Circuit: Gillis,2024,Non-Partisan,No,29750,23503.14,
"Fant, Britt",Britt Fant for Commissioner,Catoosa County,County Commissioner,2,2022,Republican,No,,,
"Farley, Chandra ",Chandra for Georgia. Inc.,State,Public Service Commissioner,3,2022,Democrat,Yes,84049.71,60639.41,
"Farmer, Joyce ",Committee to Elect Joyce Farmer for Sheriff,Fulton County,Sheriff,,2024,Democrat,No,,,
"Fears, William A.",Committee to Elect Bill Fears Superior Court Judge,State,Superior Court Judge,Towaliga,2024,Non-Partisan,No,,,
"Fenley, Gareth Nerisa",Elect Gareth Fenley,State,State Senator,46,2024,Democrat,No,3026.31,1390.02,
"Ferguson, Andrew ",Georgia Can't Wait Ferguson For State Senate,State,State Senator,46,2022,Democrat,No,20493.42,20256.02,
"Ferguson, Andrew Scott",Ferguson For State House 120,State,State Representative,120,2024,Democrat,No,2571,,
"Ferguson, Pamela Pauline",Committee to Elect Pam Ferguson,Clayton County,Probate Court Judge,,2022,Democrat,No,,,
"Fermin, Jeremy Bailey",Friends of Jeremy Fermin,Houston,Board of Education,6,2022,Non-Partisan,No,,,
"Ferrell, Bobby Bernard",Committee to Elect Bobby Ferrell,State,State Representative,69,2024,Democrat,No,1380,2644.71,
"Fiddler, Ann Willard",Committee to Elect Ann Fiddler,State,Superior Court Judge,Lookout Mountain Judicial Circuit: Graham,2024,Non-Partisan,No,32520.7,22500.7,
"Figueroa, Octaviano Gonzalo",,Long County,Sheriff,,2024,Republican,No,,,
"Filice, Ernest Charles",Friends of Ernie Filice,Greene County,County Commissioner,4,2022,Republican,No,,,
"Finch, William Aubrey",,Forsyth County,Solicitor General,,2022,Republican,No,,,
"Finnie, Stephanie S Curry",,Newton County,Clerk of Superior Court,,2024,Democrat,No,,,
"Fisher, Dexter Lee",Committee to Elect Dexter L. Fisher,Athens-Clarke (Cons. Gov.),County Commissioner,5,2022,Non-Partisan,No,,,
"Fisher, Jeffrey Brent",,Coweta County,County Commissioner,1,2024,Republican,No,,,
"Fite, Elizabeth",Elizabeth Fite for Court of Appeals,,Court of Appeals Judge,,2022,Non-Partisan,Yes,5850,206972.1,
Fitzner John A. "Tripp",,State,District Attorney,Middle,2024,Republican,No,2200,1780.94,
"Flanigan, Anthony Kevin",,Auburn,City Councilperson,4,2022,Republican,No,,,
"Fleming, Barry A.",People for Barry Fleming,State,State Representative,125,2024,Republican,Yes,661928.58,128595.17,
"Fleming, Timothy K",Fleming for State House,State,State Representative,114,2022,Republican,Yes,169310.8,141328.27,
"Fletcher, Lauren Warbington",Lauren Warbington Fletcher for Judge,State,Superior Court Judge,Cordele Judicial Circuit: Chasteen,2024,Non-Partisan,Yes,56025,56025,
"Fletcher, Lauren Warbington",Lauren Warbington Fletcher for Judge,State,Superior Court Judge,Cordele Judicial Circuit: Fachini,2024,Non-Partisan,Yes,74933.08,32498.28,
"Flournoy, Robert E.","Committee to Keep Judge Robert E. Flournoy, III",State,Superior Court Judge,Cobb,2022,Unspecified,Yes,2326.5,,
"Flournoy, Robert Eugene, Jr.",Committee to Elect Robert Flournoy Jr,State,State Senator,44,2022,Democrat,No,,,
"Floyd, Paul Alexander",,Bryan County,County Commissioner,1,2024,Republican,No,,,
"Fluker, Deborah Rachelle","Friends of Deborah R. Fluker for Superior Court, Inc.",State,Superior Court Judge,Gwinnett Judicial Circuit: Fluker,2024,Non-Partisan,Yes,1236.83,,
"Flythe, Edward John",Committee to Elect John Flythe,State,Superior Court Judge,Augusta,2024,Non-Partisan,No,,,
"Fong, Fun ","Dr. Fun Fong for Georgia House, Inc.",State,State Representative,40,2022,Republican,No,46564.63,40705.81,
"Ford, Charles Edward",,State,Superior Court Judge,Cobb Judicial Circuit: Leonard,2022,Non-Partisan,No,37799.99,37799.99,
"Ford, Jaclyn Dixon",Jaclyn Ford for Georgia,State,State Representative,170,2024,Republican,Yes,193335,32823.18,
Fort Nyahuma "Zan",,State,State Senator,39,2022,Democrat,No,,,
"Foster, Jeffrey Ladd",,State,Superior Court Judge,Alcovy Judicial Circuit: Foster,2024,Non-Partisan,No,17767.36,11608.61,
"Fowler, Rodney Jerome",The Committee to Elect Rodney Fowler for Clerk of Superior Court,Fulton County,Clerk of Superior Court,,2024,Non-Partisan,Yes,,,
"Fowler, Terence Leon",The Committee to Elect Terence Fowler,State,State Senator,2,2022,Republican,No,,,
"Franklin, Brooklyn Renee",,Long County,Solicitor General,,2024,Republican,No,,,
"Franklin, Herbert Lehman, III",Friends of Franklin,State,State Representative,160,2024,Republican,Yes,166308.77,56024.2,
"Franklin, Yolanda Yvette",Team Yolanda Franklin,Houston,Board of Education,2,2022,Non-Partisan,Yes,,,
"Fraser, Jane",Committee to Elect Jane Fraser,Glynn County,County Commissioner,at-Large,2022,Republican,No,,,
"Fraser, Louie Craig",Fraser For District Attorney,State,District Attorney,Dublin,2024,Democrat,Yes,32246.46,26640.19,
"Frazier, Gloria ",Campaign to Elect Gloria Frazier,State,State Representative,126,2024,Democrat,No,60721.97,39763.61,
"Frazier, Wayne",Committee to Elect Wayne Frazier,Richmond,Board of Education,4,2022,Non-Partisan,No,,,
"Freeman, Ron H.",Friends of Sheriff Freeman,Forsyth County,Sheriff,,2022,Republican,No,,,
"Freeman, William Park",,State,State Representative,88,2022,Republican,No,2498.05,2498.05,
"Fremer, Ben Paul",Ben Paul Fremer,State,State Senator,32,2024,Republican,No,15242.72,14668.69,
"Frye, Spencer R.",Committee to Reelect Spencer Frye,State,State Representative,122,2024,Democrat,Yes,70209.28,60123.64,
"Fryer, Larry ",,Augusta-Richmond (Cons. Gov.),County Commissioner,2,2022,Other,No,,,
"Fuller, Charles Andrew",Committee To Elect C Andrew Fuller,State,Superior Court Judge,Northeastern Judicial Circuit: Fuller,2022,Non-Partisan,No,858.3,858.3,
"Fuller, Clayton",Clayton Fuller for District Attorney Inc.,State,District Attorney,Lookout Mountain,2024,Republican,No,9050,4052.19,
"GAINER, REGINA CHESTER",,Greene,Board of Education,3,2022,Democrat,Yes,,,
"Gaines, Houston Alexander","Committee to Elect Houston Gaines, Inc.",State,State Representative,120,2024,Republican,Yes,592197.82,193546.21,
"Gaines, Joe",,Worth County,County Commissioner,1,2024,Other,No,,,
"Gallant, Kimberly A",,State,Superior Court Judge,Gwinnett Judicial Circuit: Batchelor,2024,Non-Partisan,No,73514.84,16609.21,
"Gallegos, Karl Vance",Gallegos For Georgia House District 34,State,State Representative,34,2024,Democrat,No,674.62,400,
"Galloway, Virginia A",Vote Virginia,Paulding County,County Commissioner,3,2022,Republican,Yes,,,
"Gallucci, Michael J",Friends to Elect Michael J Gallucci,Richmond,Board of Education,6,2022,Non-Partisan,No,,,
"Gambardella, Cory",,Coweta,Board of Education,at-Large,2022,Non-Partisan,Yes,,,
"Gambill, Matthew Harris",Committee to Elect Matthew Gambill,State,State Representative,15,2022,Republican,Yes,157156,141219.15,
"Gamble, Wilbur Thomas",,Terrell County,County Commission Chair,,2024,Other,No,,,
"Gammage, Keith E.",Committee To Elect Keith Gammage,Fulton County,Solicitor General,,2024,Democrat,Yes,,,
"Ganas, Rusty",,Ware,Board of Education,4,2022,Other,No,,,
"Gantt, LaKeisha Shonta",The Committee to Elect LaKeisha Gantt,Clarke,Board of Education,7,2022,Non-Partisan,No,,,
"Garcia, Jonathan David",Campaign Committee to elect Jonathan Garcia Governor,,Governor,,2022,Republican,No,3664.77,1586.43,
"Gardner, Kolbey",Kolbey Gardner for Georgia,,Lieutenant Governor,,2022,Democrat,No,117105,2087,
"Gardner, Robert Michael, Jr.","Committee to Keep Judge Robert Gardner, LLC",Barrow County,State Court Judge,10,2022,Non-Partisan,No,,,
"Gargiulo, Michael ",Michael for GA,State,State Senator,9,2024,Republican,No,6700,2519.4,
"Garner, Tiana",,Gwinnett County,Clerk of Superior Court,,2024,Democrat,Yes,,,
"Garrett, Richard Colin",Richard 4D2,Putnam County,County Commissioner,2,2024,Democrat,No,,,
"Garrison, Cleveland",,Augusta-Richmond (Cons. Gov.),County Commissioner,2,2022,Other,No,,,
"Garrison, Herbert Donald, Jr.",,Banks County,County Commissioner,2,2024,Republican,No,,,
"Garza, Micheal Andrew",Micheal Garza for GA House,State,State Representative,46,2024,Democrat,No,43502.56,33887.41,
"Gasper, Steven Patrick",Gasper for Gwinnett,Gwinnett,Board of Education,3,2024,Non-Partisan,Yes,,,
"George, Raymond Edwin",,State,Superior Court Judge,Enotah Judicial Circuit: George,2022,Non-Partisan,No,,,
"George, Sonyja",Committee to Elect Judge Sonyja George,Clayton County,State Court Judge,13,2024,Non-Partisan,No,,,
"George, Traci LaShune",Committee to Elect Traci George,State,State Representative,132,2022,Democrat,No,15246.32,14288.55,
"Gettmann, D Keith",,State,State Representative,51,2024,Republican,Yes,22300,290.19,
"Gibbs, David Scott",Friends of Scott Gibbs,State,State Senator,49,2022,Republican,No,88998.76,88998.76,
"Gibbs, David Wayne",,Hall County,County Commissioner,3,2022,Republican,No,,,
"Gibson, Elizabeth Rochelle",Elizabeth "Givens" Gibson for District Attorney Campaign,State,District Attorney,Dougherty,2024,Democrat,No,,,
"Gilbert, Amber ",,Stephens,Board of Education,1,2022,Republican,No,,,
"Gillen, Peggy D.",,State,State Representative,49,2022,Democrat,No,82852.47,78726.13,
"Gillespie, Sara Elizabeth",,Fulton,Board of Education,1,2024,Non-Partisan,No,,,
"GILLIAM, LULA MAE",Committee to Elect Lula Gilliam,State,State Senator,35,2022,Democrat,Yes,62407.04,62242.8,
"GILLIARD, Carl W",,State,State Representative,162,2024,Democrat,No,46250,35268.16,
"Gilligan, Sheri Smallwood",Friends of Sheri Gilligan,State,State Representative,24,2022,Republican,Yes,63011.81,63011.81,
Gillis Donald Walker "Donny",Judge Donald W Gillis Election Campaign,State,Superior Court Judge,Dublin,2024,Non-Partisan,No,,,
"Ginn, Franklin Joseph",Friends of Frank Ginn,State,State Senator,47,2024,Republican,Yes,261353.53,252817.1,
"Gisler, Eric ",Committee To Elect Eric Gisler,State,State Representative,121,2024,Democrat,No,,,
"GLADNEY, LYNN DENISE",Committee to Elect Lynn Gladney,State,State Representative,130,2024,Democrat,Yes,28275.48,27901.89,
"Glaize, Lydia Louise",Committee to Elect Lydia Glaize,State,State Representative,67,2024,Democrat,Yes,70079.72,63619.65,
"Glanton, Michael , Jr.",Friends of Mike Glanton Jr,State,State Senator,35,2022,Democrat,No,13875,18875,
"Glanton, Michael e, Sr.",Friends To Elect Mike Glanton,State,State Representative,75,2022,Democrat,No,32162,32260.79,
"Glanton, Michael E., Jr.",Friends of Mike Glanton Jr.,State,State Representative,75,2024,Democrat,No,,,
"Glanville, Ural Dexter Lanier",Committee to Re-Elect  Fulton County Superior Cour,State,Superior Court Judge,Atlanta,2024,Unspecified,Yes,27715.79,20963.74,
"Glass, Frederick Marion, Jr.",Fred Glass for Georgia,State,State Senator,6,2022,Republican,Yes,88552.45,88552.45,
"Glenn, Roger Anthony",,Rabun County,County Commissioner,1,2024,Republican,No,,,
"Glenn, Timothy",,Rockdale County,Soil and Water Conservation District Supervisor,,2022,Democrat,Yes,,,
"Glover, Timothy Lee",Glover for School Board,Hall,Board of Education,1,2022,Republican,No,,,
"Godfrey, Amy Beth",Committee To Elect Amy Godfrey,Coweta County,Solicitor General,,2024,Republican,Yes,,,
"Godwin, Ashley Kecskes",,State,State Senator,30,2024,Democrat,No,6118.08,3755,
"Goldman, Margaret",,Fulton County,County Commissioner,1,2022,Other,No,,,
"Goldman, Sylvia",,State,Superior Court Judge,Cobb Judicial Circuit: Clark,2024,Non-Partisan,No,,,
"Golick, Rich ",Friends of Rich Golick,State,State Representative,40,2022,Republican,No,4083.22,3902,
"GONZALEZ, DEBORAH ",Deborah Gonzalez for DA,State,District Attorney,Western Judicial,2024,Democrat,Yes,77832.51,32705.79,
"Gooch, Stephen Wade",Friends of Steve Gooch,State,State Senator,51,2024,Republican,Yes,1097290.93,364513.53,
"Goodman, Rustin Ed",Friends of Russ Goodman,State,State Senator,8,2022,Republican,No,339011.93,195125.64,
"Goodwin, Jack Milton, III",Committee to Elect Trey Goodwin,Cherokee County,Chief Magistrate Judge,,2024,Republican,No,,,
"Goosby, Gerald Demond",,Grady,Board of Education,3,2024,Other,No,,,
"Gordon, Charles Kendall, Jr.",,Dooly County,Sheriff,,2024,Democrat,No,,,
"Gordon, Eddie , Jr.","Committee to Elect Dr. Eddie Gordon, Jr",Clayton County,County Commissioner,1,2024,Democrat,No,,,
"Gordon, John",John Gordon for Attorney General - GA,,Attorney General,,2022,Republican,Yes,721074.66,721074.66,
"Gordon, Michael Wren",MICHAEL GORDON FOR STATE HOUSE,State,State Representative,49,2022,Republican,No,7134.8,7924.17,
"Gottfried, Maureen ",,State,Superior Court Judge,Chattahoochee,2024,Non-Partisan,No,,,
"Gottwals, Shane Charles",Gottwals for County Commissioner,Houston County,County Commissioner,at-Large,2022,Republican,Yes,,,
"Grabowski, Denise ",,Savannah-Chatham,Board of Education,1,2024,Non-Partisan,No,,,
"Graham, Kristina Cook",Committee to Elect Kristina Cook Graham,State,Superior Court Judge,Lookout Mountain Judicial Circuit: Graham,2024,Non-Partisan,No,8268.78,,
"Graham, Ryan",Committee to Elect Ryan Graham,,Lieutenant Governor,,2022,Other,No,19995.28,18865.55,
"Granados, Jorge","Jorge Granados for Georgia, LLC",State,State Representative,98,2024,Democrat,Yes,879,652.43,
"Grant, Kongaildricia Shantelle",,Stephens,Board of Education,2,2022,Democrat,No,,,
"Gravley, Micah ",,State,State Representative,67,2022,Republican,No,,73020.96,
"Gray, Regina D",,Long County,County Commissioner,3,2022,Democrat,No,,,
"Gray, Russell ",Committee to Elect Russell Gray County Commission,Dougherty County,County Commissioner,4,2022,Republican,No,,,
"Green, Benjamin",,Jackson County,Chief Magistrate Judge,,2024,Non-Partisan,No,,,
"Green, Benjamin",,State,Superior Court Judge,Piedmont Judicial Circuit: Booth,2024,Non-Partisan,No,60183.2,31047.8,
"Green, Davis Lorne",The Committee to Elect Davis Green,State,State Representative,129,2022,Democrat,No,,,
Green Judson L "Jud","Committee To Elect Jud Green, Inc.",State,Superior Court Judge,Dublin Judicial Circuit,2024,Other,No,,,
"Green, Nate",Committee to Elect Nate Green,State,State Representative,55,2022,Democrat,No,23053,30553,
"Green, Nathaniel",COMMITTEE TO ELECT NATE GREEN,Atlanta,City Councilperson,9,2024,Democrat,Yes,,,
"GREEN, NATHANIEL",COMMITTEE TO ELECT NATE GREEN,State,State Senator,38,2024,Democrat,Yes,,,
"Greenberg, Susan Glatt",Friends of Susie Greenberg Inc.,State,State Representative,53,2024,Democrat,Yes,379416.32,60194.14,
"Greene, Gerald ",,State,State Representative,154,2024,Republican,No,452093.09,237907.23,
"Greene, Karen Scott",Committee to Elect Karen Scott Greene,State,Superior Court Judge,Gwinnett Judicial Circuit: Hamil,2022,Non-Partisan,No,67615.08,59331.17,
"Greene, Rosemary M.",Committee to Elect Rosemary M. Greene,State,Superior Court Judge,"Cherokee Judicial Circuit: Smith, D. Scott",2022,Non-Partisan,No,4125,3870.7,
"Greene, Stuart Tucker",Committee to Elect Tucker Greene,Lumpkin County,County Commissioner,1,2022,Republican,No,,,
"Greene, William Scott",,Harris,Board of Education,4,2024,Non-Partisan,No,,,
"Gregory, Katherine",Friends of Katie Gregory,Fulton,Board of Education,3,2024,Non-Partisan,No,,,
"Griffin, Floyd ",Floyd Griffin,State,State Representative,149,2024,Democrat,No,14495,12829.45,
"GRIFFIN, FLOYD L, Jr.",FLOYD FOR SECRETARY OF STATE,,Secretary of State,,2022,Democrat,No,88505.22,154663.08,
"Griffin, Lynette D",,Pelham City,Board of Education,1,2024,Other,No,,,
"Griffin, Shawnda",,Richmond,Board of Education,1,2024,Other,No,,,
"Grigsby, John Michael",,State,State Representative,121,2024,Republican,No,,,
"Grindlay, Kevin ",Kevin Grindlay for Georgia,State,State Senator,48,2022,Republican,No,12328.08,18478.84,
"Griner, Eric Clay",Committee to Elect Clay Griner,State,State Representative,177,2024,Republican,No,38326.08,16502.27,
"Gross, Moses L",,Thomas County,County Commissioner,2,2024,Other,No,,,
"Gullett, Joseph ",Friends of Joseph Gullett,State,State Representative,19,2024,Republican,Yes,330527.82,114035.95,
"Gunter, Norman Stanley",Stan Gunter for Georgia,State,State Representative,8,2024,Republican,Yes,457965.37,218103.7,
"Gunter, Ralph James, Sr.",The Committee To Elect Ralph Gunter,Augusta-Richmond (Cons. Gov.),County Commissioner,2,2022,Democrat,No,,,
"Gurtler, Matthew Levi",Matt Gurtler for State Representative,State,State Representative,8,2022,Republican,No,15644.75,11915.03,
"Gutter-Parker, B Thassanee ",Committee to Elect B Thassanee Gutter-Parker,State,Superior Court Judge,Gwinnett Judicial Circuit: Beyers,2024,Non-Partisan,Yes,102280.77,77361.84,
"Gutter-Parker, B Thassanee ",The Committee to Elect BT Parker,State,Superior Court Judge,Gwinnett Judicial Circuit: Fluker,2022,Non-Partisan,No,32596,27121,
Guy Robert Wayne "Bert",Friends of Bert Guy,State,Superior Court Judge,Brunswick Judicial Circuit,2024,Other,No,72484.46,25855.57,
"Guzman, Abigail ",Abigail Guzman Campaign,Gainesville,City Councilperson,4,2024,Non-Partisan,No,,,
"Gwatney, Manda Carol",Committee to Elect Manda Gwatney as Probate Judge,Fannin County,Probate Court Judge,,2024,Non-Partisan,No,,,
"Hagan, Leesa Wynn",Friends of Leesa Hagan,State,State Representative,156,2024,Republican,No,229256.97,118163.14,
"Haggard, Harold Patrick",Committee To Elect Judge H. Patrick Haggard,State,Superior Court Judge,Western,2024,Unspecified,Yes,18175.46,6123.71,
"Hale, James A",,Oconee County,Sheriff,,2024,Other,No,,,
"Hale, Loletha",,State,Superior Court Judge,Flint Judicial Circuit: Amero,2022,Non-Partisan,No,3375,4334.7,
"Halevy, Emily",,DeKalb County,County Commissioner,6,2024,Democrat,No,,,
"Hall, Keithen",,Dougherty County,Sheriff,,2024,Democrat,No,,,
"Hall, Kwanza ","Kwanza Hall for Lieutenant Governor, Inc.",,Lieutenant Governor,,2022,Democrat,Yes,366190.72,366190.72,
"Hall, Michelle Todd",Committee to Elect Michelle Hall,State,Superior Court Judge,Northeastern Judicial Circuit: Gosselin,2024,Non-Partisan,No,41974.99,35204.31,
"Hall, Sharleta",,Talbot,Board of Education,3,2022,Non-Partisan,No,,,
"Hall, Stacy ",Friends of Stacy Hall,Hall County,County Commissioner,3,2022,Republican,No,,,
"Hallman, Jacob Ronald",Jake Hallman for Georgia,Bulloch County,County Commissioner,2,2022,Democrat,No,,,
"Hallman, Ronald Wayne",,Evans County,State Court Judge,at-Large,2022,Non-Partisan,No,,,
"Halpern, Sonya ","Sonya Halpern for Senate, Inc",State,State Senator,39,2024,Democrat,Yes,223250.96,53981.54,
"Hamil, Richard Timothy",Campaign to Elect R. Timothy Hamil,State,Superior Court Judge,Gwinnett Judicial Circuit: Hamil,2022,Non-Partisan,No,111982.97,110341.15,
"Hamilton, Iris ",Committee to Elect Iris Hamilton,State,State Senator,55,2024,Democrat,No,70924.27,47245.47,
"Hammett, Matthew ",Committee to Elect Matthew Hammett,State,State Representative,67,2024,Republican,No,1650,826.36,
"Hammock, Jimmy H, Jr.",Committee to Elect Jim Hammock Sheriff,Hall County,Sheriff,,2024,Republican,Yes,,,
"Hammond, Thomas Brittan","Britt Hammond For Judge, LLC",State,Superior Court Judge,Toombs Judicial Circuit: Hammond,2024,Non-Partisan,No,,,
Hamrick William G. "Bill","Citizens to Elect Judge Bill Hamrick, Inc.",State,Superior Court Judge,Coweta Judicial Circuit: Hamrick,2022,Non-Partisan,Yes,145.61,3863.7,
"Hand, Carolyn Donna",,Dougherty,Board of Education,1,2024,Democrat,No,,,
